Country,Code,Meningitis,Alzheimer's disease and other dementias,Parkinson's disease,Nutritional deficiencies,Malaria,Drowning,Interpersonal violence,Maternal disorders,HIV/AIDS,Drug use disorders,Tuberculosis,Cardiovascular diseases,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Self-harm,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Neoplasms,Conflict and terrorism,Diabetes mellitus,Chronic kidney disease,Poisonings,Protein-energy malnutrition,Road injuries,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,"Fire, heat, and hot substances",Acute hepatitis
Ireland,IRL,10,1657,407,10,0,45,32,2,9,200,30,10347,1713,74,95,435,0,49,7,10384,0,502,700,10,6,166,2548,388,1170,34,1
Israel,ISR,28,2777,605,52,0,47,184,9,37,63,26,12393,1739,226,65,545,0,386,16,14627,6,2647,2765,8,43,610,2027,756,2067,50,3
Italy,ITA,185,48763,8036,773,0,351,488,18,621,563,426,236507,12393,605,351,4315,0,1012,180,192052,0,21590,16513,84,565,5273,31345,12450,28523,503,86
Jamaica,JAM,21,780,149,65,0,13,420,28,418,6,10,6457,475,400,9,89,0,44,1,4338,0,2399,939,3,58,183,642,185,536,19,2
Japan,JPN,408,164874,16750,1832,0,7874,716,40,161,490,3852,372483,118801,469,670,24773,80,3670,2134,442474,0,8784,45324,314,1395,6841,55794,26248,60801,1617,104
Jordan,JOR,83,767,192,18,0,129,352,76,27,17,29,11798,1054,1578,17,260,0,68,3,5643,4,2053,1813,60,16,1262,856,644,1102,196,11
Kazakhstan,KAZ,136,2319,741,121,0,908,1752,54,261,749,768,65391,4013,1593,1701,4275,0,59,741,21073,0,2588,1873,466,84,2781,9772,6705,8896,457,21
Kenya,KEN,4396,2705,621,4614,8049,614,4606,3767,51135,92,16781,40611,21504,18317,340,3155,0,18564,243,23292,68,6182,4764,846,4462,4595,7705,13095,20749,829,1476
Kiribati,KIR,11,8,5,13,0,6,5,8,2,1,69,349,35,45,1,30,0,42,1,128,0,136,37,2,13,21,73,27,52,1,3
Kuwait,KWT,12,425,58,1,0,23,42,3,3,23,26,4119,668,206,10,135,0,6,3,1653,0,365,322,19,0,583,230,204,338,34,1
Kyrgyzstan,KGZ,38,723,115,9,0,265,297,57,170,63,405,17482,772,1307,403,600,0,94,104,4150,0,322,489,77,7,987,1513,2143,2482,80,18
Laos,LAO,162,529,151,201,23,389,560,315,374,17,2093,13523,3392,3043,70,430,16,1117,12,4975,0,1553,1712,30,176,1096,2663,1273,2464,82,37
Latvia,LVA,8,1031,190,5,0,122,136,2,118,51,53,15779,350,27,285,392,0,4,107,5601,0,335,263,15,1,189,433,388,945,113,1
Lebanon,LBN,34,1255,226,15,0,55,216,17,61,127,42,16329,910,400,15,176,3,61,3,7493,14,859,1180,35,12,441,1185,596,959,90,142
Lesotho,LSO,162,129,37,194,0,109,752,150,10793,7,2598,4028,1941,1133,34,736,0,1431,26,2216,0,1269,559,47,188,923,1116,395,861,124,24
Liberia,LBR,432,284,72,323,4587,86,127,713,1652,7,1062,4299,1940,2240,32,259,0,2373,19,2053,0,634,645,57,300,503,534,955,1524,107,64
Libya,LBY,43,1094,203,18,0,92,130,27,85,202,84,12747,837,349,24,347,0,70,5,5435,1039,898,1374,66,14,2155,1173,724,1122,136,45
Lithuania,LTU,16,1542,276,4,0,168,150,2,61,169,152,21301,531,29,317,857,0,14,200,7870,0,238,262,83,2,262,779,830,1882,60,1
Luxembourg,LUX,1,241,57,8,0,3,7,0,2,15,2,1332,137,6,28,69,0,17,1,1295,0,68,119,1,7,38,221,90,212,3,0
Madagascar,MDG,2084,859,208,5285,5920,437,517,2348,2530,49,12268,35397,13674,12504,159,1522,0,18314,140,11011,139,2848,1938,379,5104,2931,6030,4524,7189,405,249
Malawi,MWI,2369,1019,214,2062,7076,356,333,1151,14227,39,7861,15650,9206,10220,126,1209,59,7596,85,10110,0,2497,1783,290,1979,2077,2402,3691,5845,321,300
Malaysia,MYS,291,3667,1019,239,5,774,577,255,1521,138,1992,58824,21711,1319,176,1803,1,1361,13,31294,0,3779,6105,206,230,7592,7473,4783,10072,311,202
Maldives,MDV,2,48,11,5,0,20,10,7,1,2,14,522,35,75,1,20,0,11,0,214,0,52,89,0,3,22,123,33,49,5,0
Mali,MLI,6260,1226,325,14865,18000,993,2315,3520,4496,19,5638,19519,15184,32006,100,947,0,13882,134,9336,1170,2755,2698,565,14535,2757,4574,3267,6246,759,411
Malta,MLT,2,220,52,1,0,4,5,0,1,9,1,1491,192,11,3,24,0,3,1,1002,0,123,105,1,1,15,157,40,124,2,0
Marshall Islands,MHL,1,3,2,1,0,6,4,2,4,0,8,156,20,10,1,12,0,5,0,54,0,36,17,0,1,11,26,10,17,1,0
Mauritania,MRT,217,347,85,279,1997,43,200,500,21,5,482,3952,1797,1892,18,155,0,1539,12,2064,0,625,590,32,262,836,525,603,1026,57,26
Mauritius,MUS,5,323,63,16,0,37,32,7,91,14,15,3309,289,87,76,113,0,30,0,1517,0,1899,1260,4,16,165,537,263,398,21,1
Mexico,MEX,522,23657,4973,7558,1,2373,30673,1019,5034,596,2596,167535,22592,12384,4518,7805,0,4932,152,106421,0,73838,72539,471,6745,21103,38524,46328,71124,1147,242
Micronesia (country),FSM,2,8,5,3,0,12,9,2,45,1,11,331,38,9,2,23,0,9,0,112,0,109,49,1,2,23,57,20,34,1,0
Moldova,MDA,20,1259,163,2,0,167,208,6,163,28,184,23438,872,142,439,549,0,8,193,6245,0,284,245,180,1,360,971,2745,3513,97,1
Monaco,MCO,0,28,7,0,0,1,0,0,1,0,1,161,25,0,0,5,0,0,0,225,0,4,8,0,0,2,20,7,18,0,0
Mongolia,MNG,24,225,53,15,0,159,288,41,15,20,371,9806,530,565,584,592,12,49,263,5961,0,139,391,89,0,672,453,1656,2185,99,15
Montenegro,MNE,1,185,57,1,0,9,21,0,1,1,4,3943,69,13,8,117,0,1,5,1644,0,152,127,3,1,59,85,50,153,12,0
Morocco,MAR,400,4945,1390,215,0,354,350,567,494,407,3932,117034,6248,5135,111,2566,0,1375,104,27967,0,6617,9320,232,171,9184,9373,4551,7422,808,386
Mozambique,MOZ,2729,1529,341,3530,20528,716,1811,2072,66304,135,20700,31692,15524,24317,258,2440,643,8867,160,13531,159,4712,2645,618,3362,4979,3759,2547,7034,687,481
Myanmar,MMR,1246,6784,1726,1386,294,3052,704,1653,4773,214,14313,138139,21453,16065,388,1956,115,6700,14,52674,617,22619,11554,1008,1185,5739,43284,20361,25895,287,251
Namibia,NAM,100,228,53,189,192,73,438,77,3772,6,831,3747,1461,882,28,261,0,696,17,1600,0,790,349,29,184,575,791,339,729,88,8
Nauru,NRU,0,0,0,0,0,1,1,0,1,0,1,23,4,3,0,2,0,0,0,8,0,6,3,0,0,3,3,2,2,0,0
Nepal,NPL,469,2448,875,1300,1,1476,535,1714,1434,36,7488,46501,8760,8397,227,3528,119,5627,227,21609,21,3474,5108,498,988,2721,40800,7945,11323,191,543
Netherlands,NLD,96,8715,1919,210,0,80,144,7,49,176,99,42569,6330,308,480,2017,0,425,16,56513,0,3357,3780,14,126,810,10766,1810,6478,108,5
New Zealand,NZL,13,2066,403,15,0,50,58,6,9,65,18,11948,896,101,57,512,2,80,7,10584,0,670,915,8,12,352,2396,297,1088,23,1
Nicaragua,NIC,44,706,218,145,3,172,395,53,561,12,143,8202,1011,630,387,355,0,195,4,4429,0,1904,3475,22,143,742,1343,1623,2237,24,6
Niger,NER,7772,854,238,2449,23822,891,1962,3504,1423,14,5882,17201,23642,22546,101,972,0,28694,124,6976,395,2108,2201,482,2371,2785,3619,3325,6499,708,355
Nigeria,NGA,44914,12113,3334,5496,191106,3153,12958,17650,82270,274,45278,163496,172978,195397,1221,7970,0,181138,927,81558,3086,24473,20045,3640,4996,18508,24506,40381,70077,4017,2540
Niue,NIU,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,3,0,3,1,0,0,0,1,0,1,0,0
North Korea,PRK,223,5208,1296,443,2,1352,827,182,761,338,3242,102586,6998,1855,384,2954,0,289,109,40841,0,4066,4318,445,364,8382,31704,5171,9205,305,125
North Macedonia,MKD,5,437,180,1,0,22,44,1,2,13,38,14023,181,113,27,211,0,7,5,5431,0,1064,363,9,0,171,652,317,593,13,1
Northern Mariana Islands,MNP,0,5,2,1,0,3,3,0,1,0,1,116,11,2,2,8,0,2,0,80,0,27,24,0,1,6,17,13,19,0,0
Norway,NOR,19,2633,503,101,0,52,32,1,14,239,44,12724,2036,53,241,562,0,349,32,12675,0,666,776,20,93,202,2771,360,1409,54,2
Oman,OMN,14,163,60,38,0,115,30,14,98,16,18,4998,407,340,8,118,0,36,9,1368,0,705,199,24,2,2053,244,279,350,22,31
Pakistan,PAK,17987,10960,4273,14631,4031,3478,13446,16162,3949,867,62774,341108,68193,249785,2142,17688,225,77024,436,179773,500,47693,44390,2106,8452,19348,82758,44070,62351,2778,8516
Palau,PLW,0,2,1,0,0,2,2,0,2,0,1,65,18,1,0,3,0,2,0,36,0,23,13,0,0,3,17,4,6,1,0
Palestine,PSE,28,326,92,12,0,48,307,20,14,8,25,6710,500,812,7,124,0,31,2,2907,60,1293,649,5,11,391,488,359,522,41,6
Panama,PAN,36,1054,190,126,0,126,625,53,540,19,188,5318,818,360,32,199,0,186,2,3984,0,1217,1154,9,119,530,877,503,935,23,1
Papua New Guinea,PNG,599,402,199,205,928,379,983,770,3830,25,1538,15540,6311,4363,99,289,10,3116,29,5645,0,4697,741,152,202,2232,7154,660,1368,717,91
Paraguay,PRY,65,1261,214,304,0,181,823,114,570,15,242,9912,1474,549,318,427,17,181,6,6141,0,2447,1883,12,298,1501,1148,750,1668,60,2
Peru,PER,143,7144,1464,1300,19,688,1142,486,2401,166,1943,29215,18179,3933,342,1016,76,1222,63,33395,0,4761,8044,147,1171,4755,6961,6828,11649,278,30
Philippines,PHL,2056,10473,2429,3611,46,4792,15570,1859,5222,325,29181,204311,58413,23673,1105,4569,8,8392,192,81321,419,27680,33358,191,3011,10945,33229,14287,27945,1004,137
Poland,POL,135,18469,3433,125,0,784,617,14,134,211,559,174736,11910,545,4380,6578,0,265,351,122080,0,8124,4695,223,101,3853,11349,8565,18145,554,11
Portugal,PRT,36,6602,1327,165,0,94,166,5,482,51,224,37353,8279,98,182,1357,0,237,40,31651,0,4245,4068,24,126,957,7052,2092,5433,155,4
Puerto Rico,PRI,9,2026,354,108,0,26,696,5,231,55,21,8823,1267,108,141,249,0,96,3,6936,0,3373,2057,5,102,409,1832,1019,1654,34,3
Qatar,QAT,5,41,19,1,0,38,27,6,4,8,9,1121,70,81,6,131,0,6,4,831,0,345,133,7,0,737,66,177,221,35,2
Romania,ROU,60,8874,2074,75,0,630,380,26,142,149,941,150427,6362,440,545,2182,0,91,298,52590,0,2419,3043,314,67,2275,8106,10386,14626,407,6
Russia,RUS,1143,48437,9390,456,0,7086,22285,206,18682,5877,7982,1004931,32972,3556,28460,39040,0,423,9104,296822,20,18746,11652,5805,246,20867,39390,46102,90887,6599,57
Rwanda,RWA,995,772,158,1142,3386,212,461,839,3065,19,3960,11826,5641,5635,123,759,0,3661,51,7143,1,1916,1266,184,1095,2402,2520,2599,4297,219,178
Saint Kitts and Nevis,KNA,1,8,3,4,0,2,10,1,32,0,1,157,20,6,11,2,0,3,0,99,0,33,32,0,3,6,11,12,24,2,0
